user_id,role,target_date,days_visible,llm_prediction,pattern,reason,evidence,model,status,ground_truth,scenario,correct
SUB301,Teller,2026-09-21,1,0,// Structured insider-threat behaviour assessment.,"On the target date, activity is consistent with a teller’s normal workflow: steady customer record access in small batches, periodic small downloads, all from a known IP during business hours, with no failed logins or privilege anomalies. There is no spike, escalation, or progressive increase suggesting exfiltration or misuse.","[""Login 09:05 and logout 16:54 from known IP (10.3.3.222), normal business hours, known_ip=1 throughout."", ""Customer_access events spread through the day with small counts (e.g., 1,3,2,5,4,3,2 records), totaling 20—reasonable for a teller."", ""Downloads are small and distributed (3,5,4,2) with no sustained growth or end-of-day spike."", ""No failed_login events or account changes; account remains Regular.""]",gpt-5,completed,0,normal,True
SUB301,Teller,2026-09-22,2,0,"The 2026-09-22 activity is consistent with the prior day: similar small, periodic downloads and routine customer record accesses during business hours from a known IP, with no spikes, errors, or anomalous patterns.",Downloads totaled roughly the same as the previous day and were spaced throughout the day; customer accesses were modest and consistent with a teller’s role; all activity occurred from a known IP during normal hours with no failed logins or privilege anomalies.,"[""2026-09-22 total downloads = 4+1+5+5 = 15 vs 14 on 2026-09-21 (no abnormal growth)"", ""Customer_access on 2026-09-22: seven events with 1–5 records each, similar volume/pattern to 2026-09-21"", ""All events from known IP 10.3.3.222 (known_ip=1)"", ""Login 09:11 and logout 16:59 on 2026-09-22 (normal working hours)"", ""No failed_login events; account=Regular throughout""]",gpt-5,completed,0,normal,True
SUB301,Teller,2026-09-23,3,1,"On the target date, a customer_access event occurred 13 minutes after the user logged out, with no intervening login. This post-logout activity deviates from prior days and suggests a possible lingering session or account misuse; other metrics appear normal.","On 2026-09-23, there was customer access after a recorded logout with no subsequent login, which is inconsistent with prior days and normal workflows.","[""2026-09-23 16:35:00 logout followed by 2026-09-23 16:48:39 customer_access; no login in between"", ""Prior days (2026-09-21, 2026-09-22) show no activity after logout"", ""Downloads on 2026-09-23 were low (one download=3), consistent with earlier days"", ""All activity from known IP during business hours; the anomaly is specifically post-logout access""]",gpt-5,completed,0,normal,False
SUB301,Teller,2026-09-24,4,0,normal,"Activity on the target date matches prior-day patterns for a teller: normal business hours from a known IP, routine customer record accesses, and moderate downloads that are not increased versus baseline. No failed logins or unusual spikes.","[""2026-09-24: Login 09:00 and logout 16:30, all actions within business hours from known IP 10.3.3.222."", ""2026-09-24: Two download events (11:57=4, 14:50=4), total 8—lower than 2026-09-21 (total 14) and 2026-09-22 (total 15), not an escalating trend."", ""2026-09-24: Customer_access events show small batches (2–5 records) consistent with prior days."", ""No failed_login events on 2026-09-24; all activity under Regular account and known IP.""]",gpt-5,completed,0,normal,True
SUB301,Teller,2026-09-25,5,0,"The target date’s activity is consistent with prior behavior and the teller role: single known-IP session within business hours, modest customer record accesses, and only one small download—lower than previous days—with no failed logins or anomalous access patterns.","Activity on 2026-09-25 matches established patterns and job duties; no spikes, anomalies, or policy-relevant deviations observed.","[""2026-09-25: login 09:19, logout 16:32—normal work hours; all from known IP 10.3.3.222; no failed_logins"", ""Customer_access counts on 2026-09-25: 1, 4, 4, 1, 2—typical for a teller"", ""Downloads on 2026-09-25: only 1, notably lower than earlier days (e.g., multiple 3–5 unit downloads per day)"", ""Account type remains Regular; no privileged events or unusual system access""]",gpt-5,completed,0,normal,True
SUB302,Teller,2026-09-21,1,0,// Structured insider-threat behaviour assessment.,"On 2026-09-21 the teller’s activity appears typical: small number of customer record accesses (9 total), modest downloads (7 total), all from a known internal IP during business hours, and no failed logins. The only anomaly is a customer access occurring 9 minutes after a logout without an intervening login event, which could be a logging/order artifact or session continuation; absent other risk indicators or elevated volumes, this does not rise to suspicious behavior.","[""All activity from known IP 10.3.1.200"", ""Work hours window ~09:04–16:55 on 2026-09-21"", ""Customer_access totals: 5 + 1 + 1 + 2 = 9 records"", ""Download events: 2 + 1 + 4 = 7 total, moderate volume"", ""No failed_login events"", ""Event sequence anomaly: customer_access at 16:55 after logout at 16:46 without a recorded re-login""]",gpt-5,completed,0,normal,True
SUB302,Teller,2026-09-22,2,0,normal,"On the target date, activity is during business hours from a known IP with no failed logins. The user performs typical teller actions (small customer record accesses) and three download events, matching the prior day’s cadence. While total downloads are modestly higher than the previous day, per-event sizes remain small and there’s no unusual timing, access, or account changes.","[""2026-09-22 activity spans 09:10–16:47, all from known IP 10.3.1.200"", ""No failed_login events on 2026-09-22"", ""Downloads on 2026-09-22: three events (3, 5, 4) vs. prior day three events (2, 1, 4); slight increase in total (12 vs. 7) but small per event"", ""Customer_access events are frequent small batches (1–5 records), consistent with teller duties"", ""No post-logout or off-hours activity on 2026-09-22""]",gpt-5,completed,0,normal,True
SUB302,Teller,2026-09-23,3,0,// Structured insider-threat behaviour assessment.,"Activity on the target date matches prior days: same known IP, business hours, and download volume comparable to 9/22. The only anomaly is a customer_access before the recorded login, but a similar logging order inconsistency appeared on 9/21, suggesting instrumentation timing rather than misuse.","[""2026-09-23 09:06:14 customer_access occurs before 09:15:00 login (ordering anomaly)."", ""Downloads on 2026-09-23 total 13 (5,3,2,3), similar to 12 on 2026-09-22 (3,5,4) — no spike."", ""All activity from known IP 10.3.1.200 with known_ip=1 and during normal hours; logout at 16:53."", ""Customer_access volumes (2–5 records per event) align with teller role across all days."", ""Prior context shows similar ordering anomaly: 2026-09-21 16:46:00 logout followed by 16:55:01 customer_access.""]",gpt-5,completed,0,normal,True
SUB302,Teller,2026-09-24,4,0,normal,"On the target date, the teller’s activity (two small download events totaling 5 and several routine customer record accesses) occurred during normal hours from a known IP, with no failed logins. Volumes and patterns are equal to or lower than prior days and align with teller duties, with no unusual spikes or anomalous access behavior.","[""2026-09-24 downloads: 3 at 09:26 and 2 at 12:30 (total 5), lower than 2026-09-22 (12) and 2026-09-23 (13)"", ""Customer_access events on 2026-09-24 show records per event between 3–5, consistent with prior days"", ""All events on 2026-09-24 from known IP 10.3.1.200, Regular account, and within business hours (login 09:19, logout 16:48)"", ""No failed_login events on 2026-09-24"", ""Back-to-back customer_access at 11:43:35 and 11:43:43 is brief but within normal interaction patterns and seen across previous days""]",gpt-5,completed,0,normal,True
SUB302,Teller,2026-09-25,5,0,,"On 2026-09-25, the teller’s activity is consistent with prior days and role expectations: one small download (total=3), several routine customer_access events, all during business hours from a known IP, and no failed logins. Download volume is on the low end compared to earlier days (which ranged roughly 5–13), indicating no escalation or unusual access patterns on the target date.","[""2026-09-25: login 09:08 and logout 16:48, all events within business hours"", ""Known IP used (10.3.1.200) and 0 failed_login on 2026-09-25"", ""Only one download event on 2026-09-25 totaling 3; prior days had higher totals (e.g., 7 on 09-21, 12 on 09-22, 13 on 09-23, 5 on 09-24)"", ""Customer access counts on 2026-09-25 (records 1–5 across events) match typical teller activity"", ""No anomalous sequencing on 2026-09-25 (no access before login or after logout)""]",gpt-5,completed,0,normal,True
